company_file;inn_file;industry_file;inn_smi_publications;inn_company_main_cards;open_orgs_checker;ОГРН;ИНН;КПП;ОКПО;Полное наименование;Прежние наименования;Другие наименования;На английском;Адрес;Телефон;Web;ОКОПФ;Отрасль;Руководитель;E-mail;Соцсети;Управляющая компания;Бенефициар
«КРКА Фарма»;5042060699;оптовая торговля;5042060699;5042060699;1.0;1025005328853;5042060699;501701001;52837836;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КРКА ФАРМА""";;"ООО ""КРКА ФАРМА""";"""KRKA FARMA"" LIMITED LASBILITY COMPANY";143500, Московская обл., г. Истра, ул. Московская, д. 50На карте ;+7 (495) 9330889 ;www.krka.biz   · 6 доменов;Общества с ограниченной ответственностью;Торговля оптовая фармацевтической продукцией;Радченко Наталья Александровна · директор;krkafarma@col.ru  ;;;
"""Торговый дом Локотех""";7704758153;оптовая торговля;7704758153;7704758153;1.0;1107746515887;7704758153;770901001;66886637;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛОКОТЕХ-СЕРВИС""";ТМХ-СЕРВИС, ООО;"ООО ""ЛОКОТЕХ-СЕРВИС""";"OOO ""LOKOTEKH-SERVIS""";109004, г. Москва, ул. Земляной Вал, д. 59 стр. 2 пом. 514 · Бизнес-центр на Ул. Земляной Вал, 59С2На карте ;+7 (499) 6382298 ;www.tmh-service.ru   · 2 домена;Общества с ограниченной ответственностью;Деятельность вспомогательная, связанная с железнодорожным транспортом;;e.v.kondrahina@tmh-service.ru  ;vk.com/locotech_rus  ;ЛОКОТЕХ, ООО;
«Московская пивоваренная компания»;5029104266;пищевая промышленность;5029104266;5029104266;1.0;1075029007855;5029104266;502901001;81625934;"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСКОВСКАЯ ПИВОВАРЕННАЯ КОМПАНИЯ""";;"ЗАО ""МПК""";"JSC ""MOSCOW BREWING COMPANY""";141009, Московская обл., г. Мытищи, пл. Вокзальная, д. 2На карте ;+7 (495) 6441678 ;www.mosbrew.ru   · 21 домен;Непубличные акционерные общества;Производство пива;Дементьев Игорь Владимирович · генеральный директор;mmedvedenko@mosbrew.ru  ;vk.com/beerandtalk  ;;
"ЦКБ морской техники ""Рубин""";7838418751;машиностроение;7838418751;7838418751;1.0;1089848051116;7838418751;783801001;07510551;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЦЕНТРАЛЬНОЕ КОНСТРУКТОРСКОЕ БЮРО МОРСКОЙ ТЕХНИКИ ""РУБИН""";ЦЕНТРАЛЬНОЕ КОНСТРУКТОРСКОЕ БЮРО МОРСКОЙ ТЕХНИКИ РУБИН, ОАО ;"АО ""ЦКБ МТ ""РУБИН""";"PUBLIC JOINT-STOCK COMPANY ""CENTRAL DESIGN BUREAU FOR MARINE ENGINEERING ""RUBIN""";191119, г. Санкт-Петербург, ул. Марата, д. 90На карте ;+7 (812) 1135132 ;ckb-rubin.ru   · 3 домена;Непубличные акционерные общества;Научные исследования и разработки в области естественных и технических наук прочие;Вильнит Игорь Владимирович · генеральный директор;e.grigorieva@ckb-rubin.ru  ;;;
"""Новороссийский прокатный завод""";2315995868;черная металлургия;2315995868;2315995868;1.0;1172375048196;2315995868;615501001;16098811;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НОВОРОССИЙСКИЙ ПРОКАТНЫЙ ЗАВОД""";;"ООО ""НОВОРОССИЙСКИЙ ПРОКАТНЫЙ ЗАВОД""";"OOO ""NOVOROSSISKI PROKATNY ZAVOD""";346519, Ростовская обл., г. Шахты, ул. Чаплыгина, д. 54На карте ;+7 (863) 3033656 ;www.ooonpz.ru/   · 1 домен;Общества с ограниченной ответственностью;Производство сортового горячекатаного проката и катанки;;info@ooonpz.ru  ;;НОВОСТАЛЬ, ООО;Гибрадзе Шалва Юзаевич
"""Гринлайт"" (ROSSKO)";5403145086;розничная торговля;5403145086;5403145086;1.0;1025401306116;5403145086;771701001;54397324;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОССКО-К""";;"ООО ""РОССКО-К""";"OOO ""ROSSKO-K""";129075, г. Москва, вн.тер.г. муниципальный округ Останкинский, ул Аргуновская, д. 3, к. 1, помещ. 1/6 · Бизнес-центр «Аргуновский»На карте ;+7 (383) 2304089 ;www.rossko.ru  ;Общества с ограниченной ответственностью;Аренда и лизинг прочих видов транспорта, оборудования и материальных средств, не включенных в другие группировки;Кизиев Сергей Борисович · директор;rossko@rossko.ru  ;;;Кизиев Сергей Борисович
"""Стальтехно""";5047172389;оптовая торговля и обработка металлов;5047172389;5047172389;1.0;1155047008951;5047172389;504701001;01340212;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТАЛЬТЕХНО""";;"ООО ""СТАЛЬТЕХНО""";"OOO ""STALTEKHNO""";141407, Московская обл, г.о. Химки, г Химки, ул Панфилова, влд. 21, стр. 1, этаж 20, помещ. 20 · Деловой центр «Кантри Парк Кантри Парк III»На карте ;+7 (495) 9562178 ;steeltehno.ru   · 3 домена;Общества с ограниченной ответственностью;Обработка металлов и нанесение покрытий на металлы;Рожкова Лариса Петровна · управляющий - индивидуальный  предприниматель;;;;
«Топливная компания «ТранзитСити»;1654035998;оптовая торговля;1654035998;1654035998;1.0;1021602830590;1654035998;163501001;50607233;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОПЛИВНАЯ КОМПАНИЯ ""ТРАНЗИТСИТИ""";ПРОМЭКС, ООО;"ООО ""ТК ""ТРАНЗИТСИТИ""";"OOO ""TK ""TRANZITSITI""";422060, Татарстан респ., Сабинский район, пгт. Богатые Сабы, ул. А.Каримуллина, д. 32 кв. 3На карте ;+7 (905) 0246060 ;www.tranzit-city.com/   · 4 домена;Общества с ограниченной ответственностью;Торговля оптовая твердым, жидким и газообразным топливом и подобными продуктами;Дерягин Олег Анатольевич · директор;gd@tcoil.ru  ;;;
«Прогресс» (производство детского питания и минеральной воды);4826022365;пищевая промышленность;4826022365;4826022365;1.0;1024840823996;4826022365;482601001;18008485;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРОГРЕСС""";ПРОГРЕСС, ОАО;"АО ""ПРОГРЕСС""";"AO ""PROGRESS """;398902, Липецкая обл., г. Липецк, ул. Ангарская, владение 2На карте ;+7 (474) 2420505 ;www.progressfood.ru   · 37 доменов;Непубличные акционерные общества;Производство детского питания и диетических пищевых продуктов;Медунова Наталья Александровна · генеральный директор;i@za.erj  ;vk.com/official_frutonyanya  ;;
«Катерпиллар Евразия»;7705639173;оптовая торговля;7705639173;7705639173;1.0;1057746034884;7705639173;770501001;75594000;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАТЕРПИЛЛАР ЕВРАЗИЯ""";КАТЕРПИЛЛАР СНГ, ООО;"ООО ""КАТЕРПИЛЛАР ЕВРАЗИЯ""";"""CATERPILLAR EURASIA"" LLC";115035, г. Москва, вн.тер.г. муниципальный округ Замоскворечье, ул Садовническая, д. 9АНа карте ;+7 (495) 2133213 ·  Открытые данные ;www.caterpillar.com  ;Общества с ограниченной ответственностью;Деятельность агентов по оптовой торговле универсальным ассортиментом товаров;Потехин Михаил Геннадьевич · генеральный директор;cat_moscow@cat.com  ;;;
ТФН;7727696432;оптовая торговля;7727696432;7727696432;1.0;1097746481645;7727696432;775101001;62735350;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТФН""";;"ООО ""ТФН""";"OOO ""TFN""";108811, г. Москва, Московский пос., д. Говорово, км. Мкад 47На карте ;+7 (926) 2963906 ;3-falcons.ru   · 24 домена;Общества с ограниченной ответственностью;Торговля оптовая бытовыми электротоварами;Салищев Сергей Борисович · генеральный директор;v.logunov@tfnopt.ru  ;;;Гескин Константин Юрьевич
ТГК-16;1655189422;электроэнергетика;1655189422;1655189422;1.0;1101690011532;1655189422;165501001;65505691;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТГК-16""";ТГК-16, ОАО;"АО ""ТГК-16""";"AO ""TGK-16""";420015, Татарстан Респ, г.о. город Казань, г Казань, ул Пушкина, зд. 80, офис 311На карте ;+7 (843) 2000258 ;tgc16.ru   · 1 домен;Непубличные акционерные общества;Производство электроэнергии тепловыми электростанциями, в том числе деятельность по обеспечению работоспособности электростанций;Галеев Эдуард Геннадьевич · генеральный директор;galimullinaao@tgc16.ru  ;;;
«Надеждинский металлургический завод»;6632004667;черная металлургия;6632004667;6632004667;1.0;1026601814799;6632004667;668001001;00186387;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАДЕЖДИНСКИЙ МЕТАЛЛУРГИЧЕСКИЙ ЗАВОД""";НАДЕЖДИНСКИЙ МЕТАЛЛУРГИЧЕСКИЙ ЗАВОД, ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ;"ПАО ""НАДЕЖДИНСКИЙ МЕТАЛЛУРГИЧЕСКИЙ ЗАВОД""";"PAO ""NADEZHDINSKI METALLURGICHESKI ZAVOD""";624981, Свердловская обл., г. Серов, ул. Агломератчиков, стр. 6На карте ;+7 (343) 3654254 ;www.serovmet.ru   · 1 домен;Публичные акционерные общества;Производство сортового горячекатаного проката и катанки;;beskova@serovmet.ru  ;;УМК-СТАЛЬ, ООО;
«Мицубиси Моторс Рус»;7710698978;машиностроение;7710698978;7710698978;1.0;1077763326838;7710698978;402701001;84085029;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИЦУБИСИ МОТОРС РУС""";ЭМ-ЭМ-СИ РУС, ООО;"ООО ""МИЦУБИСИ МОТОРС РУС""";MITSUBISHI MOTORS RUS LLC;248000, Калужская обл, г.о. город Калуга, г Калуга, ул Кирова, зд. 2, помещ. 3 ОФИС 507На карте ;+7 (495) 7872030 ;www.mitsubishi-motors.com  ;Общества с ограниченной ответственностью;Производство автотранспортных средств;Ходзе Синобу · генеральный директор;;;;
Группа «НИКОС»;7701655865;химическая и нефтехимическая промышленность;7701655865;7701655865;1.0;1067746525780;7701655865;772501001;95205124;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГРУППА НИКОС""";;"ООО ""ГРУППА НИКОС""";"LIMITED LIABITITY SOCIETY ""NIKOS GROUP @""";119071, г. Москва, проспект Ленинский, д. 15А этаж 10 пом. 8-9 · Бизнес-центр «Gorky Park Tower»На карте ;+7 (495) 7306176 ;;Общества с ограниченной ответственностью;Вложения в ценные бумаги и деятельность дилерская;Баранов Михаил Владимирович · генеральный директор;nikosgroup@mail.ru  ;;;
«Машиностроительный завод им. М.И. Калинина, г. Екатеринбург»;6663003800;машиностроение;6663003800;6663003800;1.0;1026605624451;6663003800;668601001;07509511;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""МАШИНОСТРОИТЕЛЬНЫЙ ЗАВОД ИМЕНИ М.И.КАЛИНИНА, Г. ЕКАТЕРИНБУРГ""";МАШИНОСТРОИТЕЛЬНЫЙ ЗАВОД ИМ.М.И.КАЛИНИНА, Г.ЕКАТЕРИНБУРГ, ПАО ;"ПАО ""МЗИК""";"PAO ""MZIK""";620091, Свердловская обл., г. Екатеринбург, проспект Космонавтов, стр. 18На карте ;+7 (343) 3659319 ;www.zik.ru   · 3 домена;Акционерные общества;Производство оружия и боеприпасов;Клейн Николай Владимирович · генеральный директор;ak_mp@mail.ru  ;twitter.com/zikekb  ;;
«Нео-Фарм»;7732121736;розничная торговля;7732121736;7732121736;1.0;1037732007620;7732121736;772801001;70277909;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НЕО-ФАРМ""";;"ООО ""НЕО-ФАРМ""";"""NEO-PHARM""";117246, г. Москва, ул. Обручева, д. 55А этаж 1 пом. VII ком. 1На карте ;+7 (495) 2155215 ·  Открытые данные ;www.neopharm.ru   · 87 доменов;Общества с ограниченной ответственностью;Торговля розничная лекарственными средствами в специализированных магазинах (аптеках);Иванушкин Олег Михайлович · генеральный директор;;vk.com/stolichki_official  ;;
«Фирма «Август»;5046001101;химическая и нефтехимическая промышленность;5046001101;5046001101;1.0;1025006038958;5046001101;503101001;18015953;"АКЦИОНЕРНОЕ ОБЩЕСТВО ФИРМА ""АВГУСТ""";АВГУСТ, АО;"АО ФИРМА ""АВГУСТ""";"JOINT STOK COMPANY ""AUGUST"" INC. SOCIEDAD ANONIMA CERREDA FIRMA ""AVGUST""";142432, Московская обл., г. Черноголовка, ул. Центральная, д. 20АНа карте ;+7 (495) 7870805 ;www.august.com   · 11 доменов;Непубличные акционерные общества;Производство пестицидов и прочих агрохимических продуктов;Данилов Михаил Евгеньевич · генеральный директор;.zamaliev@firm-august.ru  ;vk.com/avgust_com  ;;
«Мираторг-Курск»;4623004836;агропромышленный комплекс;4623004836;4623004836;1.0;1024600783855;4623004836;462501001;53326822;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИРАТОРГ-КУРСК""";УСПЕХ, ООО;"ООО ""МИРАТОРГ-КУРСК""";"OOO ""MIRATORG-KURSK""";307120, Курская обл., Фатежский район, с. Верхний Любаж, ул. Западная, владение 6На карте ;+7 (47142) 30272 ;vk.com/work_in_miratorg_kursk  ;Общества с ограниченной ответственностью;Разведение свиней;Куликовский Сергей Михайлович · директор;on.shlyahova@belpig.ru  ;;;
Российская телевизионная и радиовещательная сеть;7717127211;телекоммуникации и связь;7717127211;7717127211;1.0;1027739456084;7717127211;771701001;57985487;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОССИЙСКАЯ ТЕЛЕВИЗИОННАЯ И РАДИОВЕЩАТЕЛЬНАЯ СЕТЬ""";;РТРС;RTRS;"129515, г. Москва, ул. Академика Королева, д. 13 стр. 1 · Бизнес центр ""Мосавто""/Бизнес центр ГИНЦВЕТМЕТНа карте ";+7 (495) 6235820 ;gorny.rtrn.ru/   · 42 домена;Федеральные государственные унитарные предприятия;Деятельность в области связи на базе беспроводных технологий;Романченко Андрей Юрьевич · генеральный директор;aachimov@rtrn.ru  ;vk.com/tv_tower  ;;
«Вольво Карс»;5047105054;оптовая торговля;5047105054;5047105054;1.0;1095047004469;5047105054;504701001;61531450;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВОЛЬВО КАРС""";;"ООО ""ВОЛЬВО КАРС""";"LIMITED LIABILITY COMPANY ""VOLVO CARS""";141402, Московская обл, г.о. Химки, г Химки, ул Ленинградская, влд. 39, стр. 6, помещ. ОВ02_11_07_08 · Бизнес-парк «Химки Бизнес Парк здание 2»На карте ;+7 (495) 7820200 ;volvosupport.ru   · 11 доменов;Общества с ограниченной ответственностью;Торговля оптовая легковыми автомобилями и легкими автотранспортными средствами;Соузен Сабри · генеральный директор;;;;
«УЛК», группа компаний;2922008546;лесная, деревообрабатывающая и целлюлозно-бумажная промышленность;2922008546;2922008546;1.0;1112907000898;2922008546;292201001;90255910;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГРУППА КОМПАНИЙ ""УЛК""";;"ООО ""ГК ""УЛК""";"OOO ""GK ""ULK""";165210, Архангельская обл, м.о. Устьянский, рп Октябрьский, ул Заводская, д. 17, офис 1На карте ;+7 (81855) 61224 ;likpestovo.ru   · 4 домена;Общества с ограниченной ответственностью;"Производство пиломатериалов, кроме профилированных, толщиной более 6 мм; производство непропитанных железнодорожных и трамвайных шпал из древесины";Буторин Владимир Федорович · генеральный директор;a.shestakova@ulkust.ru  ;;;Буторин Владимир Федорович
«Курский мясоперерабатывающий завод»;4633037968;пищевая промышленность;4633037968;4633037968;1.0;1154632011940;4633037968;463301001;23014536;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КУРСКИЙ МЯСОПЕРЕРАБАТЫВАЮЩИЙ ЗАВОД""";АПК ЛИНЕЦ, ООО;"ООО ""КМПЗ""";"OOO ""KMPZ""";307174, Курская обл., г. Железногорск, ул. Воинов-Интернационалистов стр. 7/1На карте ;+7 (47148) 76479 ;www.apkholding.ru/  ;Общества с ограниченной ответственностью;Производство продукции из мяса убойных животных и мяса птицы;Деревенчук Юрий Сергеевич · директор;;;;Новиков Сергей Анатольевич
«Саянскхимпласт»;3814007314;химическая и нефтехимическая промышленность;3814007314;3814007314;1.0;1023801910560;3814007314;381401001;46696320;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""САЯНСКХИМПЛАСТ""";САЯНСКХИМПЛАСТ, ОАО;"АО ""САЯНСКХИМПЛАСТ""";"AO ""SAYANSKKHIMPLAST""";666301, Иркутская обл, г.о. город Саянск, тер. промышленный узел промплощадка, кв-л 186, к. 104На карте ;+7 (3953) 345540 ;www.sibvinyl.ru   · 1 домен;Непубличные акционерные общества;Производство пластмасс и синтетических смол в первичных формах;Мельник Николай Викторович · генеральный директор;ail@sibvinyl.ru  ;;;
«Аскона», торговый дом;3305051742;розничная торговля;3305051742;3305051742;1.0;1043302207508;3305051742;330501001;70964739;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРГОВЫЙ ДОМ ""АСКОНА""";;"ООО ""ТД ""АСКОНА""";"LLC ""TH ""ASKONA""";601914, Владимирская обл., г. Ковров, ул. Комсомольская, д. 116Г стр. 25 пом. I, 4 этаж , офис 26На карте ;+7 (49232) 99646 ;askona.ru   · 31 домен;Общества с ограниченной ответственностью;Торговля розничная мебелью, осветительными приборами и прочими бытовыми изделиями в специализированных магазинах;Ершов Роман Владимирович · генеральный директор;askona@kovrov.ru  ;vk.com/askonaru  ;;
«Максима Групп» (сеть магазинов Familia);7703295463;розничная торговля;7703295463;7703295463;1.0;1027739364443;7703295463;770301001;40171674;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАКСИМА ГРУПП""";;"ООО ""МАКСИМА ГРУПП""";MAXIMA GROUP LLC;123376, г. Москва, вн.тер.г. муниципальный округ Пресненский, ул Красная Пресня, д. 24, этаж 7 ПОМЕЩ. I, каб. 61На карте ;+7 (495) 3262115 ;famil.ru   · 41 домен;Общества с ограниченной ответственностью;Торговля розничная прочая в неспециализированных магазинах;Можаева Светлана Александровна · генеральный директор;info@famil.ru  ;;;
«Аромалюкс» (сеть «Рив Гош»);7810022460;розничная торговля;7810022460;7810022460;1.0;1057810129266;7810022460;783901001;76189709;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АРОМАЛЮКС""";;"ООО ""АРОМАЛЮКС""";"""AROMALUXE"" CO. LTD.";198095, г. Санкт-Петербург, вн.тер.г. муниципальный округ Измайловское, ш Митрофаньевское, д. 2, к. 9, литера В, помещ. 107На карте ;+7 (800) 3332020 ;parfum-standard.ru   · 16 доменов;Общества с ограниченной ответственностью;Торговля розничная косметическими и товарами личной гигиены в специализированных магазинах;Копытина Виктория Валентиновна · генеральный директор;n.korovina@rivegauche.ru  ;vk.com/rivegauche  ;;
«Импэкстрейд»;5609087920;оптовая торговля;5609087920;5609087920;1.0;1125658039055;5609087920;561101001;11929644;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИМПЭКСТРЕЙД""";;"ООО ""ИМПЭКСТРЕЙД""";"OOO ""IMPEKSTREID""";460050, Оренбургская обл., г. Оренбург, ул. Терешковой, д. 263/2 пом. 11.1На карте ;;;Общества с ограниченной ответственностью;Торговля оптовая моторным топливом, включая авиационный бензин;Мельников Дмитрий Николаевич · директор;;;;
