company_file,inn_file,industry_file,inn_smi_publications,inn_company_main_cards,open_orgs_checker,ОГРН,ИНН,КПП,ОКПО,Полное наименование,Прежние наименования,Другие наименования,На английском,Адрес,Телефон,Web,ОКОПФ,Отрасль,Руководитель,E-mail,Соцсети,Управляющая компания,Бенефициар,flag,Полное название организации,Английское название,Адрес,Уставный капитал,ОКФС,ОКОПФ,ОКОГУ,ИНН,ОГРН,КПП,ОКАТО,ОКПО,ОКТМО,main_okved_id,main_okved_name,second_okveds
«Максима Групп» (сеть магазинов Familia),7703295463,розничная торговля,7703295463,7703295463,1.0,1027739364443,7703295463,770301001,40171674,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАКСИМА ГРУПП""",,"ООО ""МАКСИМА ГРУПП""",MAXIMA GROUP LLC,"123376, г. Москва, вн.тер.г. муниципальный округ Пресненский, ул Красная Пресня, д. 24, этаж 7 ПОМЕЩ. I, каб. 61На карте ",+7 (495) 3262115 ,famil.ru   · 41 домен,Общества с ограниченной ответственностью,Торговля розничная прочая в неспециализированных магазинах,Можаева Светлана Александровна · генеральный директор,info@famil.ru  ,,,,1.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАКСИМА ГРУПП""",MAXIMA GROUP LLC,"г. Москва, вн.тер.г. муниципальный округ Пресненский, ул Красная Пресня, д. 24, этаж 7 ПОМЕЩ. I, каб. 61",10 000 000,Частная собственность,Общества с ограниченной ответственностью,"Хозяйственные общества и товарищества с участием иностранных юридических и (или) физических лиц, а также лиц без гражданства",7703295463,1027739364443,770301001,"Город Москва столица Российской Федерации город федерального значения, Центральный, Пресненский",40171674,"Москва, Внутригородские муниципальные образования города Москвы (см. также 45 900 000), муниципальный округ Пресненский",47.19,Торговля розничная прочая в неспециализированных магазинах,{'Торговля оптовая текстильными изделиями': '46.41'}
«Аромалюкс» (сеть «Рив Гош»),7810022460,розничная торговля,7810022460,7810022460,1.0,1057810129266,7810022460,783901001,76189709,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АРОМАЛЮКС""",,"ООО ""АРОМАЛЮКС""","""AROMALUXE"" CO. LTD.","198095, г. Санкт-Петербург, вн.тер.г. муниципальный округ Измайловское, ш Митрофаньевское, д. 2, к. 9, литера В, помещ. 107На карте ",+7 (800) 3332020 ,parfum-standard.ru   · 16 доменов,Общества с ограниченной ответственностью,Торговля розничная косметическими и товарами личной гигиены в специализированных магазинах,Копытина Виктория Валентиновна · генеральный директор,n.korovina@rivegauche.ru  ,vk.com/rivegauche  ,,,1.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АРОМАЛЮКС""","""AROMALUXE"" CO. LTD.","г. Санкт-Петербург, вн.тер.г. муниципальный округ Измайловское, ш Митрофаньевское, д. 2, к. 9, литера В, помещ. 107",9 020 000,Собственность иностранных юридических лиц,Общества с ограниченной ответственностью,"Хозяйственные общества и товарищества с участием иностранных юридических и (или) физических лиц, а также лиц без гражданства",7810022460,1057810129266,783901001,"Город Санкт-Петербург город федерального значения, Адмиралтейский, Измайловское",76189709,"Санкт-Петербург, Внутригородские муниципальные образования города федерального значения Санкт-Петербурга (см. также 40 900 000), муниципальный округ Измайловское",47.75,Торговля розничная косметическими и товарами личной гигиены в специализированных магазинах,{'Производство парфюмерных и косметических средств': '20.42'}
«Импэкстрейд»,5609087920,оптовая торговля,5609087920,5609087920,1.0,1125658039055,5609087920,561101001,11929644,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИМПЭКСТРЕЙД""",,"ООО ""ИМПЭКСТРЕЙД""","OOO ""IMPEKSTREID""","460050, Оренбургская обл., г. Оренбург, ул. Терешковой, д. 263/2 пом. 11.1На карте ",,,Общества с ограниченной ответственностью,"Торговля оптовая моторным топливом, включая авиационный бензин",Мельников Дмитрий Николаевич · директор,,,,,1.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИМПЭКСТРЕЙД""","OOO ""IMPEKSTREID""","Оренбургская обл., г. Оренбург, ул. Терешковой, д. 263/2 пом. 11.1",20 000,Частная собственность,Общества с ограниченной ответственностью,"Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно",5609087920,1125658039055,561101001,"Оренбургская область, Оренбург, Промышленный",11929644,"Оренбургская область, Городские округа Оренбургской области, г Оренбург",46.71.2,"Торговля оптовая моторным топливом, включая авиационный бензин",{'Торговля автотранспортными средствами': '45.1'}
«Завод Технофлекс»,6229024796,промышленность строительных материалов,6229024796,6229024796,1.0,1026201076054,6229024796,622901001,44890489,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗАВОД ТЕХНОФЛЕКС""",,"ООО ""ЗАВОД ТЕХНОФЛЕКС""","LLC ""TECHNOFLEX""","390000, Рязанская обл., г. Рязань, ул. Прижелезнодорожная, д. 5На карте ",+7 (38451) 49828 ·  Открытые данные ,техноэласт.рф   · 1 домен,Общества с ограниченной ответственностью,Производство изделий из асфальта или аналогичных материалов,Колядов Дмитрий Николаевич · генеральный директор,secretary@tflx.tn.ru  ,,,,1.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗАВОД ТЕХНОФЛЕКС""","LLC ""TECHNOFLEX""","Рязанская обл., г. Рязань, ул. Прижелезнодорожная, д. 5",2 890 331 000,Частная собственность,Общества с ограниченной ответственностью,"Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно",6229024796,1026201076054,622901001,"Рязанская область, Рязань, Московский",44890489,"Рязанская область, Городские округа Рязанской области, г Рязань",23.99.2,Производство изделий из асфальта или аналогичных материалов,{'Производство текстильных тканей': '13.20'}
«Инстамарт Сервис» (СберМаркет),9705118142,сервисы по доставке,9705118142,9705118142,1.0,1187746494980,9705118142,770501001,28610444,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНСТАМАРТ СЕРВИС""",,"ООО ""ИНСТАМАРТ СЕРВИС""","OOO ""INSTAMART SERVIS""","115035, г. Москва, вн.тер.г. муниципальный округ Замоскворечье, ул Садовническая, д. 9А, этаж/помещ./ком. 5/I/1На карте ",+7 (495) 1206000 ,instamart.ru   · 28 доменов,Общества с ограниченной ответственностью,"Деятельность по обработке данных, предоставление услуг по размещению информации и связанная с этим деятельность",Глухов Павел Анатольевич · генеральный директор,b2b@sbermarket.ru  ,,,,1.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНСТАМАРТ СЕРВИС""","OOO ""INSTAMART SERVIS""","г. Москва, вн.тер.г. муниципальный округ Замоскворечье, ул Садовническая, д. 9А, этаж/помещ./ком. 5/I/1",10 000,Частная собственность,Общества с ограниченной ответственностью,"Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно",9705118142,1187746494980,770501001,"Город Москва столица Российской Федерации город федерального значения, Центральный, Замоскворечье",28610444,"Москва, Внутригородские муниципальные образования города Москвы (см. также 45 900 000), муниципальный округ Замоскворечье",63.11,"Деятельность по обработке данных, предоставление услуг по размещению информации и связанная с этим деятельность",{'Торговля оптовая шкурами и кожей': '46.24'}
«Реилго»,7707205911,транспорт и логистика,7707205911,7707205911,1.0,1027700474163,7707205911,770401001,18270912,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕИЛГО""","ИСР ТРАНС, ООО ","ООО ""РЕИЛГО""","OOO ""REILGO""","119048, г. Москва, вн.тер.г. муниципальный округ Хамовники, ул Лужники, д. 24, стр. 19, этаж 2, помещ. 1На карте ",+7 (35374) 97338 ·  Открытые данные ,www.eurotrans.ru   · 11 доменов,Общества с ограниченной ответственностью,"Деятельность вспомогательная прочая, связанная с перевозками",Халилов Рахман Искендер Оглы · председатель правления,info@rail-go.ru  ,,,Халилов Рахман Искендер Оглы,1.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕИЛГО""","OOO ""REILGO""","г. Москва, вн.тер.г. муниципальный округ Хамовники, ул Лужники, д. 24, стр. 19, этаж 2, помещ. 1",1 000 000,Частная собственность,Общества с ограниченной ответственностью,"Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно",7707205911,1027700474163,770401001,"Город Москва столица Российской Федерации город федерального значения, Центральный, Хамовники",18270912,"Москва, Внутригородские муниципальные образования города Москвы (см. также 45 900 000), муниципальный округ Хамовники",52.29,"Деятельность вспомогательная прочая, связанная с перевозками",{'Деятельность агентов по оптовой торговле универсальным ассортиментом товаров': '46.19'}
«Е100 Онлайн»,6732075238,платежный сервис,6732075238,6732075238,1.0,1146733011105,6732075238,673201001,25765040,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОНЛАЙН КАРДС""","Е100 ОНЛАЙН, ООО","ООО ""ОНЛАЙН КАРДС""","""ONLINE CARDS"" LTD","214025, Смоленская обл., г. Смоленск, ул. Нормандия-Неман, д. 35 офис 306 · Торгово-деловой комплекс «Неман»На карте ",+7 (800) 0702035 ·  Открытые данные ,e100.eu/ru   · 8 доменов,Общества с ограниченной ответственностью,"Торговля оптовая твердым, жидким и газообразным топливом и подобными продуктами",Волосенков Алексей Борисович · генеральный директор,s.senchakova@e100.biz  ,,,Бохан Кирилл Сергеевич,1.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОНЛАЙН КАРДС""","""ONLINE CARDS"" LTD","Смоленская обл., г. Смоленск, ул. Нормандия-Неман, д. 35 офис 306",6 000 000,Частная собственность,Общества с ограниченной ответственностью,"Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно",6732075238,1146733011105,673201001,"Смоленская область, Смоленск",25765040,"Смоленская область, Городские округа Смоленской области, г Смоленск",46.71,"Торговля оптовая твердым, жидким и газообразным топливом и подобными продуктами",{'Строительство жилых и нежилых зданий': '41.20'}
«Денцу Си Эс»,7709583813,реклама и связи с общественностью,7709583813,7709583813,1.0,1047796985554,7709583813,770901001,75569930,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОККАМ СИ ЭС""","ДЕНЦУ СИ ЭС, ООО ","ООО ""ОККАМ СИ ЭС""",OKKAM CS,"109004, г. Москва, вн.тер.г. муниципальный округ Таганский, пер Тетеринский, д. 16, помещ. 4/1На карте ",+7 (495) 9811685 ,www.dentsuaegisnetwork.com   · 17 доменов,Общества с ограниченной ответственностью,Деятельность рекламных агентств,Ляшкевич Светлана Анастасьевна · генеральный директор,,,,,1.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОККАМ СИ ЭС""",OKKAM CS,"г. Москва, вн.тер.г. муниципальный округ Таганский, пер Тетеринский, д. 16, помещ. 4/1",980 001 000,Собственность иностранных юридических лиц,Общества с ограниченной ответственностью,"Хозяйственные общества и товарищества с участием иностранных юридических и (или) физических лиц, а также лиц без гражданства",7709583813,1047796985554,770901001,"Город Москва столица Российской Федерации город федерального значения, Центральный, Таганский",75569930,"Москва, Внутригородские муниципальные образования города Москвы (см. также 45 900 000), муниципальный округ Таганский",73.11,Деятельность рекламных агентств,{'Прочие виды полиграфической деятельности': '18.12'}
«Маяк» (сеть супермаркетов «Слата»),3811125221,розничная торговля,3811125221,3811125221,1.0,1083811008160,3811125221,381101001,87063963,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАЯК""",,"ООО ""МАЯК""",LLC MAYAK,"664081, Иркутская обл., г. Иркутск, ул. Депутатская, д. 84/1 пом. 2На карте ",+7 (3952) 202421 ·  Открытые данные ,www.slata.ru/   · 7 доменов,Общества с ограниченной ответственностью,"Торговля розничная пищевыми продуктами, напитками и табачными изделиями в специализированных магазинах",,info@slata.ru  ,,"ИКС5-ВОСТОЧНАЯ СИБИРЬ, ООО",,1.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАЯК""",LLC MAYAK,"Иркутская обл., г. Иркутск, ул. Депутатская, д. 84/1 пом. 2",200 320 000,Частная собственность,Общества с ограниченной ответственностью,"Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно",3811125221,1083811008160,381101001,"Иркутская область, Иркутск, Октябрьский",87063963,"Иркутская область, Городские округа Иркутской области, г Иркутск",47.2,"Торговля розничная пищевыми продуктами, напитками и табачными изделиями в специализированных магазинах",{'Прочие виды полиграфической деятельности': '18.12'}
«Лудинг»,7730107662,оптовая торговля,7730107662,7730107662,1.0,1027739644745,7730107662,772901001,18359428,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛУДИНГ""",,"ООО ""ЛУДИНГ""","OOO ""LUDING""","121471, г. Москва, вн.тер.г. муниципальный округ Очаково-Матвеевское, ул Рябиновая, д. 55, стр. 2, помещ. 4-1, этаж/ком. 1/6На карте ",+7 (965) 4277434 ,www.luding.ru   · 7 доменов,Общества с ограниченной ответственностью,"Торговля оптовая алкогольными напитками, кроме пива и пищевого этилового спирта",Ананьева Людмила Викторовна · генеральный директор,info@luding.ru  ,,,,1.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛУДИНГ""","OOO ""LUDING""","г. Москва, вн.тер.г. муниципальный округ Очаково-Матвеевское, ул Рябиновая, д. 55, стр. 2, помещ. 4-1, этаж/ком. 1/6",10 008 400,Частная собственность,Общества с ограниченной ответственностью,"Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно",7730107662,1027739644745,772901001,"Город Москва столица Российской Федерации город федерального значения, Западный, Очаково-Матвеевское",18359428,"Москва, Внутригородские муниципальные образования города Москвы (см. также 45 900 000), муниципальный округ Очаково-Матвеевское",46.34.21,"Торговля оптовая алкогольными напитками, кроме пива и пищевого этилового спирта","{'Деятельность агентов по оптовой торговле алкогольными напитками, кроме пива': '46.17.22'}"
«КРОК»,7701004101,информационные технологии,7701004101,7701004101,1.0,1027700094949,7701004101,770101001,17404049,"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""КРОК ИНКОРПОРЕЙТЕД""",,"ЗАО ""КРОК ИНКОРПОРЕЙТЕД""","""CROC INCORPORATED"" JOINT STOCK COMPANY","105082, г. Москва, ул. Большая Почтовая, д. 26В стр. 2 · Бизнес центр «Пост-Плаза»На карте ",+7 (495) 9744274 ,www.croc.ru/   · 14 доменов,Непубличные акционерные общества,"Торговля оптовая компьютерами, периферийными устройствами к компьютерам и программным обеспечением",Волковская Елена Викторовна · генеральный директор,ahaidukov@croc.ru  ,twitter.com/crocinc  ,,,1.0,"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""КРОК ИНКОРПОРЕЙТЕД""","""CROC INCORPORATED"" JOINT STOCK COMPANY","г. Москва, ул. Большая Почтовая, д. 26В стр. 2",169 140 500,Частная собственность,Непубличные акционерные общества,"Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно",7701004101,1027700094949,770101001,"Город Москва столица Российской Федерации город федерального значения, Центральный, Басманный",17404049,"Москва, Внутригородские муниципальные образования города Москвы (см. также 45 900 000), муниципальный округ Басманный",46.51,"Торговля оптовая компьютерами, периферийными устройствами к компьютерам и программным обеспечением",{'Разработка строительных проектов': '41.10'}
«Север-Авто-М» («САМ - МБ»),5001048893,оптовая торговля,5001048893,5001048893,1.0,1045000719961,5001048893,500101001,73108886,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""САМ - МБ""",,"ООО ""САМ - МБ""","OOO ""SAM - MB""","143900, Московская обл., г. Балашиха, шоссе Энтузиастов, д. 84 пом. 5На карте ",+7 (977) 3431673 ,www.svrauto.ru   · 47 доменов,Общества с ограниченной ответственностью,"Торговля оптовая автомобильными деталями, узлами и принадлежностями, кроме деятельности агентов",Беляк Сергей Вадимович · генеральный директор,director@koleso.ru  ,,,Беляк Сергей Вадимович,1.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""САМ - МБ""","OOO ""SAM - MB""","Московская обл., г. Балашиха, шоссе Энтузиастов, д. 84 пом. 5",11 740 000,Частная собственность,Общества с ограниченной ответственностью,"Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно",5001048893,1045000719961,500101001,"Московская область, Балашиха",73108886,"Московская область, Городские округа Московской области, Балашиха",45.31.1,"Торговля оптовая автомобильными деталями, узлами и принадлежностями, кроме деятельности агентов","{'Производство резиновых шин, покрышек и камер; восстановление резиновых шин и покрышек': '22.11'}"
«Якобс Дау Эгбертс Рус»,4725001168,пищевая промышленность,4725001168,4725001168,1.0,1153316153715,4725001168,472501001,23377575,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЯКОБС ДАУ ЭГБЕРТС РУС""","ЯКОБС РУС, ООО","ООО ""ЯКОБС ДАУ ЭГБЕРТС РУС""",JACOBS DOUWE EGBERTS RUS LLC,"188508, Ленинградская обл., Ломоносовский район, проезд 8-Й (Северная Часть Промзоны Горелово Тер), д. 1На карте ",+7 (495) 9379700 ,www.jacobsdouweegberts.com/  ,Общества с ограниченной ответственностью,Производство чая и кофе,Обручкова Светлана Александровна · генеральный директор,natalia.khokhlova@jdecoffee.com  ,,,,1.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЯКОБС ДАУ ЭГБЕРТС РУС""",JACOBS DOUWE EGBERTS RUS LLC,"Ленинградская обл., Ломоносовский район, проезд 8-Й (Северная Часть Промзоны Горелово Тер), д. 1",5 773 917 910,Собственность иностранных юридических лиц,Общества с ограниченной ответственностью,"Хозяйственные общества и товарищества с участием иностранных юридических и (или) физических лиц, а также лиц без гражданства",4725001168,1153316153715,472501001,"Ленинградская область, Ломоносовский район, п Новогорелово",23377575,"Ленинградская область, Муниципальные районы Ленинградской области, Ломоносовский мун. р-н, Городские поселения Ломоносовского муниципального района, Виллозское, п Новогорелово",10.83,Производство чая и кофе,"{'Производство прочих пищевых продуктов, не включенных в другие группировки': '10.89'}"
«НАФТАИНВЕСТ»,9715239467,оптовая торговля,9715239467,9715239467,1.0,1167746105779,9715239467,770301001,52806286,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАФТАИНВЕСТ""",,"ООО ""НАФТАИНВЕСТ""","OOO ""NAFTAINVEST""","123112, г. Москва, набережная Пресненская, д. 6 стр. 2 этаж / пом. 23/I · Деловой комплекс ""Империя""На карте ",+7 (925) 4522519 ,www.nafta-invest.com   · 2 домена,Общества с ограниченной ответственностью,"Торговля оптовая твердым, жидким и газообразным топливом и подобными продуктами",Ачапкин Сергей Александрович · генеральный директор,info@nafta-invest.com  ,,,Барютин Борис Евгеньевич,1.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАФТАИНВЕСТ""","OOO ""NAFTAINVEST""","г. Москва, набережная Пресненская, д. 6 стр. 2 этаж / пом. 23/I",50 000,Частная собственность,Общества с ограниченной ответственностью,"Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно",9715239467,1167746105779,770301001,"Город Москва столица Российской Федерации город федерального значения, Центральный, Пресненский",52806286,"Москва, Внутригородские муниципальные образования города Москвы (см. также 45 900 000), муниципальный округ Пресненский",46.71,"Торговля оптовая твердым, жидким и газообразным топливом и подобными продуктами","{'Выращивание посадочного материала лесных растений (саженцев, сеянцев)': '02.10.11'}"
«Черниговец»,4203001913,угольная промышленность,4203001913,4203001913,1.0,1024200646887,4203001913,425001001,32212927,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЧЕРНИГОВЕЦ""","ЧЕРНИГОВЕЦ, ОАО","АО ""ЧЕРНИГОВЕЦ""","AO ""CHERNIGOVETS""","652423, Кемеровская область - Кузбасс, м.о. Кемеровский, тер. разрез Черниговский, зд. 3На карте ",+7 (34369) 96212 ,,Непубличные акционерные общества,"Добыча угля, за исключением антрацита, угля коксующегося и угля бурого, открытым способом",Зеленин Дмитрий Петрович · директор,coal@chernigovets.ru  ,,,,1.0,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЧЕРНИГОВЕЦ""","AO ""CHERNIGOVETS""","Кемеровская область - Кузбасс, м.о. Кемеровский, тер. разрез Черниговский, зд. 3",533 947 000,Частная собственность,Непубличные акционерные общества,Приватизированные предприятия,4203001913,1024200646887,425001001,"Кемеровская область - Кузбасс, Кемеровский район",32212927,"Кемеровская область, Муниципальные округа Кемеровской области - Кузбасса, Кемеровский муниципальный округ",05.10.13,"Добыча угля, за исключением антрацита, угля коксующегося и угля бурого, открытым способом",{'Добыча коксующегося угля открытым способом': '05.10.12'}
«Умный ритейл» (экспресс-доставка «Самокат»),7811657720,сервисы по доставке,7811657720,7811657720,1.0,1177847261602,7811657720,773001001,19088084,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УМНЫЙ РИТЕЙЛ""",,"ООО ""УМНЫЙ РИТЕЙЛ""","OOO ""UMNY RITEIL""","121087, г. Москва, вн.тер.г. муниципальный округ Филевский парк, ул Барклая, д. 6, стр. 3, помещ. 8Н/4 · Бизнес-центр «Барклай Парк»На карте ",,,Общества с ограниченной ответственностью,Торговля розничная по почте или по информационно-коммуникационной сети Интернет,Лазарев Александр Михайлович · генеральный директор,arenda@samokat.ru  ,,,,1.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УМНЫЙ РИТЕЙЛ""","OOO ""UMNY RITEIL""","г. Москва, вн.тер.г. муниципальный округ Филевский парк, ул Барклая, д. 6, стр. 3, помещ. 8Н/4",1 110 000,Частная собственность,Общества с ограниченной ответственностью,"Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно",7811657720,1177847261602,773001001,"Город Москва столица Российской Федерации город федерального значения, Западный, Филевский парк",19088084,"Москва, Внутригородские муниципальные образования города Москвы (см. также 45 900 000), муниципальный округ Филевский парк",47.91,Торговля розничная по почте или по информационно-коммуникационной сети Интернет,"{'Торговля оптовая соками, минеральной водой и прочими безалкогольными напитками': '46.34.1'}"
"«Русэлпром», концерн",7709976356,машиностроение,7709976356,7709976356,1.0,5167746198186,7709976356,772901001,5003724,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОНЦЕРН РУСЭЛПРОМ""","НТГ, ООО","ООО ""КОНЦЕРН РУСЭЛПРОМ""","OOO ""KONTSERN RUSELPROM""","119415, г. Москва, проспект Вернадского, д. 37 к. 1 Э 3 пом. XIII ком. 23 · Бизнес-центр ЭктосНа карте ",+7 (492) 2479311 ,,Общества с ограниченной ответственностью,Консультирование по вопросам коммерческой деятельности и управления,Русаковский Алексей Михайлович · генеральный директор,,,,,1.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОНЦЕРН РУСЭЛПРОМ""","OOO ""KONTSERN RUSELPROM""","г. Москва, проспект Вернадского, д. 37 к. 1 Э 3 пом. XIII ком. 23",10 000,Частная собственность,Общества с ограниченной ответственностью,"Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно",7709976356,5167746198186,772901001,"Город Москва столица Российской Федерации город федерального значения, Западный, Проспект Вернадского",05003724,"Москва, Внутригородские муниципальные образования города Москвы (см. также 45 900 000), муниципальный округ Проспект Вернадского",70.22,Консультирование по вопросам коммерческой деятельности и управления,{'Производство приборов и аппаратуры для автоматического регулирования или управления': '26.51.7'}
«Ланцет»,7718538045,оптовая торговля,7718538045,7718538045,1.0,1057746183417,7718538045,771801001,76056523,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЛАНЦЕТ""",,"АО ""ЛАНЦЕТ""",LANCET JSC,"107553, г. Москва, ул. Большая Черкизовская, д. 24А стр. 1 офис 527На карте ",+7 (345) 2561259 ,www.lancetpharm.ru   · 13 доменов,Непубличные акционерные общества,Торговля оптовая фармацевтической продукцией,Ковальчук Ирина Григорьевна · генеральный директор,12334132@bk.ru  ,,,,1.0,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЛАНЦЕТ""",LANCET JSC,"г. Москва, ул. Большая Черкизовская, д. 24А стр. 1 офис 527",10 000,Частная собственность,Непубличные акционерные общества,"Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно",7718538045,1057746183417,771801001,"Город Москва столица Российской Федерации город федерального значения, Восточный, Преображенское",76056523,"Москва, Внутригородские муниципальные образования города Москвы (см. также 45 900 000), муниципальный округ Преображенское",46.46.1,Торговля оптовая фармацевтической продукцией,"{'Производство лекарственных препаратов и материалов, применяемых в медицинских целях и ветеринарии': '21.20'}"
«Фрито Лей Мануфактуринг»,7705189397,пищевая промышленность,7705189397,7705189397,1.0,1025002509817,7705189397,501901001,18380078,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" ФРИТО ЛЕЙ МАНУФАКТУРИНГ""",,"ООО "" ФРИТО ЛЕЙ МАНУФАКТУРИНГ""","Limited Liability Company ""Frito Lay Manyfacturing""","142900, Московская обл., г. Кашира, ул. Меженинова, д. 5На карте ",+7 (4232) 908868 ·  Открытые данные ,www.fritolay.ru   · 4 домена,Общества с ограниченной ответственностью,Переработка и консервирование картофеля,,moscow.reception@pepsico.com  ,,"ПЕПСИКО ХОЛДИНГС, ООО",,1.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" ФРИТО ЛЕЙ МАНУФАКТУРИНГ""","Limited Liability Company ""Frito Lay Manyfacturing""","Московская обл., г. Кашира, ул. Меженинова, д. 5",11 648 542 244,Собственность иностранных юридических лиц,Общества с ограниченной ответственностью,"Хозяйственные общества и товарищества с участием иностранных юридических и (или) физических лиц, а также лиц без гражданства",7705189397,1025002509817,501901001,"Московская область, Кашира",18380078,"Московская область, Городские округа Московской области, Кашира",10.31,Переработка и консервирование картофеля,"{'Производство сухарей, печенья и прочих сухарных хлебобулочных изделий, производство мучных кондитерских изделий, тортов, пирожных, пирогов и бисквитов, предназначенных для длительного хранения': '10.72'}"
